	CODIGOINTERNOMUNI	MUNI	SED_01	SED_05	SED_02	SED_04	SED_03	SED_06	SED_07	SED_08	SED_09	SED_10	SED_11	SED_12	SED_13	SED_14	SED_15	TIC_01	TIC_02	TIC_03_1	TIC_03_0	TIC_04_1	TIC_04_0	TIC_05_1	TIC_05_0	TIC_06_1	TIC_06_0	TIC_07_1	TIC_07_0	TIC_08_1	TIC_08_0	TIC_10_1	TIC_10_0	TIC_11_1	TIC_11_0	SED_16	SED_17	SED_18	SED_19	SED_20	SED_21	SED_23	SED_24
680	8549	Piojó	0.0	25.0	870.0	33.0	195.0	0.0	4	1123	81.0	488.0	356.0	140.0	58.0		1.0	0.13381823301604687	0.24375771488654396	8.0	0.0	3.0	5.0	3.0	5.0	0.0	8.0	1.0	7	4.0	4.0	8.0	0.0	4.0	4.0	8	1.0	7.0	0.125			6.0	2
681	15550	Pisba	0.0	28.0	364.0	0.0	0.0	0.0	2	392	26.0	175.0	112.0	39.0	40.0		1.0	0.15450657131405185	0.8226495726495727	11.0	2.0	0.0	13.0	0.0	13.0	0.0	13.0	1.0	12	1.0	12.0	10.0	3.0	0.0	13.0	13	1.0	12.0	0.07692307692307693			12.0	1
682	41548	Pital	0.0	0.0	2918.0	118.0	0.0	211.0	3	3247	277.0	1448.0	1061.0	343.0	118.0		1.0	0.41389938510335494	0.5549767767445082	34.0	5.0	11.0	28.0	2.0	37.0	1.0	38.0	2.0	37	10.0	29.0	39.0	0.0	7.0	32.0	39	4.0	35.0	0.10256410256410256			33.0	5
683	41551	Pitalito	3040.0	2359.0	16316.0	746.0	9805.0	948.0	6	33214	3155.0	13758.0	9994.0	2938.0	3369.0	0.0015656048654181971	0.9984343951345818	0.3077126325083681	0.36266294819571093	188.0	2.0	81.0	109.0	42.0	148.0	20.0	170.0	25.0	165	111.0	79.0	189.0	1.0	38.0	152.0	190	53.0	137.0	0.2789473684210526	4.0	0.021052631578947368	142.0	16
684	47551	Pivijay	0.0	59.0	6144.0	652.0	974.0	2347.0	5	10176	974.0	4652.0	2962.0	877.0	711.0		1.0	0.08378137012258259	0.25144405065828623	40.0	14.0	35.0	19.0	8.0	46.0	15.0	39.0	4.0	50	22.0	32.0	42.0	12.0	10.0	44.0	54	19.0	35.0	0.35185185185185186			39.0	8
685	73555	Planadas	0.0	297.0	5833.0	63.0	205.0	591.0	5	6989	604.0	3430.0	2032.0	501.0	422.0		1.0	0.2667397171756183	0.46513257166314226	102.0	3.0	35.0	70.0	5.0	100.0	8.0	97.0	1.0	104	13.0	92.0	96.0	9.0	18.0	87.0	105	5.0	100.0	0.047619047619047616	11.0	0.10476190476190476	93.0	10
686	23555	Planeta Rica	181.0	889.0	10827.0	139.0	3404.0	1580.0	6	17020	1731.0	6799.0	5551.0	1911.0	1028.0		1.0	0.12752438264163177	0.12827046652087554	90.0	3.0	32.0	61.0	11.0	82.0	15.0	78.0	8.0	85	24.0	69.0	73.0	20.0	20.0	73.0	93	22.0	71.0	0.23655913978494625	1.0	0.010752688172043012	65.0	21
687	47555	Plato	410.0	0.0	9145.0	2024.0	4080.0	1799.0	5	17458	1732.0	7797.0	4555.0	1350.0	2024.0		1.0	0.08310428538717372	0.31136685435764	48.0	15.0	18.0	45.0	22.0	41.0	9.0	54.0	23.0	40	42.0	21.0	57.0	6.0	17.0	46.0	62	31.0	31.0	0.5	2.0	0.03225806451612903	46.0	6
688	52540	Policarpa	0.0	46.0	2352.0	16.0	0.0	0.0	3	2414	162.0	1167.0	807.0	216.0	62.0		1.0	0.31705299899875156	0.34633067623296326	42.0	0.0	9.0	33.0	0.0	42.0	4.0	38.0	0.0	42	4.0	38.0	30.0	12.0	2.0	40.0	42	2.0	40.0	0.047619047619047616			27.0	15
689	8558	Polonuevo	0.0	0.0	2129.0	95.0	250.0	1000.0	4	3474	343.0	1489.0	1141.0	406.0	95.0		1.0	0.08288741967304628	0.16098235340471306	9.0	0.0	8.0	1.0	0.0	9.0	6.0	3.0	5.0	4	7.0	2.0	8.0	1.0	3.0	6.0	9	8.0	1.0	0.8888888888888888			5.0	2
690	8560	Ponedera	0.0	0.0	2099.0	302.0	1067.0	1802.0	4	5270	559.0	2359.0	1496.0	554.0	302.0		1.0	0.11641373966393814	0.14895038763378604	13.0	1.0	9.0	5.0	2.0	12.0	2.0	12.0	5.0	9	10.0	4.0	13.0	1.0	7.0	7.0	14	7.0	7.0	0.5			7.0	5
691	19001	Popayán	2647.0	1959.0	44647.0	1259.0	10262.0	3246.0	6	64020	7136.0	24584.0	19748.0	7166.0	5386.0	0.022836613558263042	0.977163386441737	0.1463167540173246	0.23680011348128424	230.0	3.0	158.0	75.0	147.0	86.0	77.0	156.0	101.0	132	204.0	29.0	214.0	19.0	42.0	191.0	233	174.0	59.0	0.7467811158798283	14.0	0.060085836909871244	84.0	43
692	85263	Pore	0.0	136.0	1332.0	0.0	416.0	583.0	4	2467	178.0	1075.0	847.0	231.0	136.0		1.0	0.7577073350093086	0.4590543674384424	22.0	0.0	7.0	15.0	0.0	22.0	0.0	22.0	0.0	22	3.0	19.0	22.0	0.0	5.0	17.0	22	4.0	18.0	0.18181818181818182			19.0	3
693	52560	Potosí	0.0	0.0	2024.0	0.0	0.0	0.0	1	2024	171.0	919.0	704.0	230.0	0.0		1.0	0.3133099297256478	0.4319352412793673	27.0	0.0	15.0	12.0	0.0	27.0	5.0	22.0	1.0	26	9.0	18.0	27.0	0.0	9.0	18.0	27	3.0	24.0	0.1111111111111111	1.0	0.037037037037037035	20.0	7
694	76563	Pradera	244.0	423.0	5631.0	366.0	2192.0	784.0	6	9640	737.0	3914.0	3118.0	1077.0	794.0	0.04128630705394191	0.9587136929460581	0.4025310535481508	0.5848735686913745	47.0	0.0	32.0	15.0	12.0	35.0	9.0	38.0	4.0	43	26.0	21.0	46.0	1.0	8.0	39.0	47	24.0	23.0	0.5106382978723404	1.0	0.02127659574468085	32.0	6
695	73563	Prado	0.0	6.0	1711.0	44.0	0.0	0.0	3	1761	153.0	720.0	606.0	232.0	50.0	0.0034071550255536627	0.9965928449744463	0.42592161929885075	1.4715728715728715	27.0	0.0	23.0	4.0	2.0	25.0	0.0	27.0	1.0	26	6.0	21.0	26.0	1.0	5.0	22.0	27	5.0	22.0	0.18518518518518517	1.0	0.037037037037037035	22.0	3
696	88564	Providencia	0.0	0.0	1729.0	83.0	0.0	0.0	2	1812	143.0	725.0	643.0	218.0	83.0		1.0	0.2624406380715947	0.469385195743485	19.0	0.0	12.0	7.0	2.0	17.0	6.0	13.0	3.0	16	4.0	15.0	17.0	2.0	6.0	13.0	19	2.0	17.0	0.10526315789473684			15.0	4
697	52565	Providencia	0.0	0.0	1729.0	83.0	0.0	0.0	2	1812	143.0	725.0	643.0	218.0	83.0		1.0	0.2624406380715947	0.469385195743485	19.0	0.0	12.0	7.0	2.0	17.0	6.0	13.0	3.0	16	4.0	15.0	17.0	2.0	6.0	13.0	19	2.0	17.0	0.10526315789473684			15.0	4
698	20570	Pueblo Bello	0.0	0.0	3920.0	286.0	418.0	1819.0	4	6443	476.0	3842.0	1463.0	376.0	286.0		1.0	0.22704872586310673	0.5396609867615415	46.0	32.0	11.0	67.0	0.0	78.0	1.0	77.0	1.0	77	12.0	66.0	50.0	28.0	4.0	74.0	78	5.0	73.0	0.0641025641025641	45.0	0.5769230769230769	67.0	11
699	23570	Pueblo Nuevo	0.0	184.0	4715.0	136.0	120.0	2258.0	5	7413	601.0	3103.0	2588.0	801.0	320.0		1.0	0.19819790373580043	0.5657655654049111	63.0	3.0	27.0	39.0	1.0	65.0	4.0	62.0	8.0	58	12.0	54.0	60.0	6.0	17.0	49.0	66	4.0	62.0	0.06060606060606061			50.0	16
700	66572	Pueblo Rico	0.0	141.0	4069.0	118.0	0.0	857.0	4	5185	499.0	2781.0	1105.0	365.0	435.0		1.0	0.3610035968841295	0.4405178953368012	76.0	7.0	8.0	75.0	4.0	79.0	4.0	79.0	2.0	81	7.0	76.0	74.0	9.0	6.0	77.0	83	3.0	80.0	0.03614457831325301	22.0	0.26506024096385544	77.0	6
701	5576	Pueblorrico	0.0	39.0	200.0	74.0	0.0	1265.0	4	1578	77.0	719.0	486.0	183.0	113.0		1.0	0.3888445643355475	0.2858453871399052	15.0	1.0	7.0	9.0	2.0	14.0	2.0	14.0	0.0	16	5.0	11.0	10.0	6.0	2.0	14.0	16	3.0	13.0	0.1875	1.0	0.0625	11.0	5
702	47570	Puebloviejo	0.0	0.0	3525.0	422.0	2673.0	417.0	4	7037	746.0	3261.0	2020.0	559.0	451.0		1.0	0.08060985706864818	0.16404192741002394	20.0	2.0	13.0	9.0	0.0	22.0	0.0	22.0	2.0	20	8.0	14.0	19.0	3.0	11.0	11.0	22	4.0	18.0	0.18181818181818182	6.0	0.2727272727272727	17.0	5
703	68572	Puente Nacional	0.0	68.0	1776.0	0.0	0.0	1441.0	3	3285	155.0	1005.0	1437.0	620.0	68.0	0.004870624048706241	0.9951293759512938	0.7950409300365922	0.5385784866610898	41.0	0.0	10.0	31.0	3.0	38.0	0.0	41.0	0.0	41	5.0	36.0	39.0	2.0	7.0	34.0	41	4.0	37.0	0.0975609756097561			34.0	5
704	52573	Puerres	0.0	15.0	1429.0	0.0	0.0	0.0	2	1444	102.0	598.0	538.0	191.0	15.0		1.0	0.5044036045472132	0.7629494795398686	22.0	0.0	6.0	16.0	0.0	22.0	5.0	17.0	2.0	20	1.0	21.0	22.0	0.0	5.0	17.0	22	3.0	19.0	0.13636363636363635	1.0	0.045454545454545456	17.0	4
705	91530	Puerto Alegría	0.0	0.0	186.0	0.0	0.0	0.0	1	186	22.0	134.0	30.0	0.0	0.0		1.0	0.04604700854700855	0.0	1.0	3.0	0.0	4.0	0.0	4.0	0.0	4.0	0.0	4	0.0	4.0	2.0	2.0	0.0	4.0	4		4.0		4.0	1.0	3.0	1
706	91536	Puerto Arica	0.0	0.0	235.0	0.0	0.0	0.0	1	235	32.0	140.0	63.0	0.0	0.0		1.0	0.025157232704402517		1.0	6.0	0.0	7.0	0.0	7.0	0.0	7.0	0.0	7	0.0	7.0	1.0	6.0	0.0	7.0	7		7.0		7.0	1.0	5.0	2
707	86568	Puerto Asís	205.0	1995.0	11587.0	351.0	215.0	2646.0	6	16999	1260.0	6943.0	5040.0	1410.0	2346.0		1.0	0.29355770602337106	0.31531131243370886	136.0	24.0	44.0	116.0	11.0	149.0	43.0	117.0	14.0	146	26.0	134.0	140.0	20.0	32.0	128.0	160	24.0	136.0	0.15	13.0	0.08125	130.0	22
708	5579	Puerto Berrío	250.0	500.0	4400.0	302.0	2427.0	264.0	6	8143	629.0	3277.0	2531.0	904.0	802.0		1.0	0.19393413285004088	0.6077647399118333	33.0	1.0	13.0	21.0	8.0	26.0	3.0	31.0	5.0	29	16.0	18.0	31.0	3.0	14.0	20.0	34	13.0	21.0	0.38235294117647056			23.0	8
709	15572	Puerto Boyacá	0.0	143.0	6542.0	355.0	4173.0	0.0	4	11213	1025.0	4659.0	3702.0	1289.0	538.0	0.016052795861945957	0.983947204138054	0.23463125645864444	0.5413005652119706	52.0	1.0	19.0	34.0	11.0	42.0	5.0	48.0	8.0	45	19.0	34.0	53.0	0.0	5.0	48.0	53	11.0	42.0	0.20754716981132076	3.0	0.05660377358490566	39.0	10
710	86569	Puerto Caicedo	0.0	0.0	2454.0	36.0	0.0	0.0	2	2490	207.0	1138.0	872.0	237.0	36.0		1.0	0.20509103091360822	0.4240331140067325	38.0	26.0	11.0	53.0	2.0	62.0	1.0	63.0	0.0	64	3.0	61.0	14.0	50.0	0.0	64.0	64	3.0	61.0	0.046875	10.0	0.15625	56.0	8
711	99001	Puerto Carreño	0.0	0.0	4220.0	221.0	0.0	928.0	3	5369	535.0	2749.0	1443.0	421.0	221.0	0.00428385174147886	0.9957161482585212	0.08163118356969884	0.20397398000671188	19.0	3.0	6.0	16.0	2.0	20.0	2.0	20.0	1.0	21	12.0	10.0	20.0	2.0	5.0	17.0	22	11.0	11.0	0.5	5.0	0.22727272727272727	11.0	8
712	8573	Puerto Colombia	8179.0	0.0	4891.0	264.0	2278.0	630.0	5	16242	2084.0	6854.0	4971.0	2069.0	264.0	0.01631572466445019	0.9836842753355498	0.17756141631649247	0.1689539293272955	35.0	11.0	25.0	21.0	25.0	21.0	6.0	40.0	21.0	25	31.0	15.0	36.0	10.0	14.0	32.0	46	27.0	19.0	0.5869565217391305	13.0	0.2826086956521739	15.0	8
713	94884	Puerto Colombia	8179.0	0.0	4891.0	264.0	2278.0	630.0	5	16242	2084.0	6854.0	4971.0	2069.0	264.0	0.01631572466445019	0.9836842753355498	0.17756141631649247	0.1689539293272955	35.0	11.0	25.0	21.0	25.0	21.0	6.0	40.0	21.0	25	31.0	15.0	36.0	10.0	14.0	32.0	46	27.0	19.0	0.5869565217391305	13.0	0.2826086956521739	15.0	8
